level,method,run,real,user,sys,file
k10,greedy,1,0.63,0.99,1.26,time_greedy_k10.txt
k10,greedy,2,0.6,0.85,1.41,time_greedy_k10.txt
k10,greedy,3,0.35,0.77,1.28,time_greedy_k10.txt
k10,greedy,4,0.58,1.08,1.17,time_greedy_k10.txt
k10,greedy,5,0.33,1.31,0.81,time_greedy_k10.txt
k20,greedy,1,0.33,0.81,1.27,time_greedy_k20.txt
k20,greedy,2,0.65,0.88,1.37,time_greedy_k20.txt
k20,greedy,3,0.31,0.99,1.09,time_greedy_k20.txt
k20,greedy,4,0.34,1.06,1.04,time_greedy_k20.txt
k20,greedy,5,0.38,1.1,1.02,time_greedy_k20.txt
k30,greedy,1,0.6,1.38,0.91,time_greedy_k30.txt
k30,greedy,2,0.39,1.11,0.87,time_greedy_k30.txt
k30,greedy,3,0.3,0.75,1.35,time_greedy_k30.txt
k30,greedy,4,0.32,0.93,1.19,time_greedy_k30.txt
k30,greedy,5,0.36,1.15,0.95,time_greedy_k30.txt
k40,greedy,1,0.31,0.74,1.36,time_greedy_k40.txt
k40,greedy,2,0.37,0.86,1.19,time_greedy_k40.txt
k40,greedy,3,0.32,0.99,1.05,time_greedy_k40.txt
k40,greedy,4,0.35,1.12,0.99,time_greedy_k40.txt
k40,greedy,5,0.33,0.93,1.13,time_greedy_k40.txt
k50,greedy,1,0.32,0.68,1.44,time_greedy_k50.txt
k50,greedy,2,0.36,1.28,0.77,time_greedy_k50.txt
k50,greedy,3,0.3,1.01,1.07,time_greedy_k50.txt
k50,greedy,4,0.34,1.1,1.04,time_greedy_k50.txt
k50,greedy,5,0.39,1.25,0.84,time_greedy_k50.txt
k10,ilp,1,4.87,5.24,1.27,time_ilp_k10.txt
k10,ilp,2,4.88,5.61,0.89,time_ilp_k10.txt
k10,ilp,3,4.91,5.23,1.29,time_ilp_k10.txt
k10,ilp,4,4.81,5.15,1.39,time_ilp_k10.txt
k10,ilp,5,4.81,5.42,1.1,time_ilp_k10.txt
k20,ilp,1,4.8,5.65,0.85,time_ilp_k20.txt
k20,ilp,2,4.82,5.21,1.34,time_ilp_k20.txt
k20,ilp,3,4.81,5.28,1.26,time_ilp_k20.txt
k20,ilp,4,4.87,5.35,1.16,time_ilp_k20.txt
k20,ilp,5,4.81,5.33,1.17,time_ilp_k20.txt
k30,ilp,1,5.0,5.14,1.42,time_ilp_k30.txt
k30,ilp,2,4.9,5.25,1.31,time_ilp_k30.txt
k30,ilp,3,4.79,5.07,1.48,time_ilp_k30.txt
k30,ilp,4,4.96,5.26,1.28,time_ilp_k30.txt
k30,ilp,5,4.79,5.29,1.23,time_ilp_k30.txt
k40,ilp,1,4.92,5.67,0.84,time_ilp_k40.txt
k40,ilp,2,4.81,5.06,1.42,time_ilp_k40.txt
k40,ilp,3,4.78,5.24,1.25,time_ilp_k40.txt
k40,ilp,4,4.85,5.39,1.22,time_ilp_k40.txt
k40,ilp,5,4.91,5.2,1.4,time_ilp_k40.txt
k50,ilp,1,5.02,5.11,1.52,time_ilp_k50.txt
k50,ilp,2,4.74,5.26,1.29,time_ilp_k50.txt
k50,ilp,3,4.98,5.33,1.28,time_ilp_k50.txt
k50,ilp,4,4.82,5.21,1.32,time_ilp_k50.txt
k50,ilp,5,4.82,5.19,1.34,time_ilp_k50.txt
